rev_id,perc_labelled_attack,n_labelled_attack,n_labels,predictor_prob
10613488,0.1,2,20,0.045352262
10620280,0.5,5,10,0.215202317
10627987,0,0,10,0.072484242
10644950,0,0,10,0.01932409
10654775,0.35,7,20,0.233846337
10671422,0,0,10,0.047098036
10680656,0,0,20,0.008591197
10686413,0,0,20,0.111896518
10711924,0.25,2,8,0.00680931
10716698,0,0,9,0.005338301
10787382,0.2,2,10,0.056233793
10808332,0,0,10,0.034432889
10855810,0.1,1,10,0.009922901
10902961,0,0,20,0.031223193
10982198,0,0,9,0.038683284
11127070,0.111111111,1,9,0.001345992
11132339,0.222222222,2,9,0.077296253
11135750,0.148148148,4,27,0.020660976
11144826,0,0,10,0.050624193
11162683,0.4,4,10,0.065044477
11223291,0,0,20,0.005467858
11223518,0,0,28,0.019582443
11280468,0.111111111,1,9,0.045656779
11287472,0,0,10,0.005584423
11292828,0.052631579,1,19,0.338244855
11351661,0,0,10,0.02598781
11376268,0,0,10,0.01043231
11402153,0,0,10,0.006760402
11415007,0,0,20,0.019324757
11493376,0,0,10,0.055675784
11528942,0.233333333,7,30,0.137523103
11653908,0,0,20,0.034844888
11659488,0,0,20,0.016588795
11669242,0,0,8,0.025729977
11687201,0.222222222,2,9,0.046741528
11714246,0.068965517,2,29,0.047285372
11714408,0,0,9,0.020316688
11741590,0,0,20,0.037260915
11753197,0.1,2,20,0.03351995
11753505,0,0,10,0.025001072
11770563,0,0,20,0.019843318
11773157,0,0,9,0.016519262
11794642,0.9,9,10,0.502917857
11802537,0.2,4,20,0.153811597
11852258,0.05,1,20,0.014017628
11878415,0.1,1,10,0.017465826
11970742,0,0,20,0.022587055
11997463,0.555555556,5,9,0.065893807
12012614,0.153846154,4,26,0.063062517
12036493,0.6,6,10,0.230449942
12037079,0.206896552,6,29,0.060198713
12076142,0,0,19,0.008570216
12179805,0.1875,3,16,0.079227085
12208967,0.2,4,20,0.013606406
12257744,0,0,10,0.075183344
12272369,0,0,20,0.022986715
12273197,0,0,19,0.024415989
12295326,0,0,20,0.043283755
12305047,0.034482759,1,29,0.037836598
12348023,0.9,9,10,0.379168866
12523957,0,0,19,0.02679381
12529530,0.05,1,20,0.01197755
12566441,0.555555556,5,9,0.286576781
12574555,0.05,1,20,0.013518049
12669221,0,0,10,0.026166182
12673579,0.25,5,20,0.066183862
12676332,0.111111111,1,9,0.08988224
12679641,0,0,20,0.060603221
12688479,0,0,20,0.039152392
12714557,0,0,9,0.020434087
12799074,0,0,9,0.04436868
12838931,0.333333333,3,9,0.016708792
12865711,0,0,9,0.024534374
12882735,0.392857143,11,28,0.105215655
12971004,0.1,1,10,0.115622595
12978585,0.111111111,1,9,0.150427826
12980524,0,0,19,0.012830736
13019178,0.1,2,20,0.022783482
13105744,0.052631579,1,19,0.027846073
13110722,0,0,20,0.010701755
13211609,0.1,1,10,0.012423419
13421003,0,0,17,0.016361588
13453224,0.655172414,19,29,0.377714838
13457588,0.1,1,10,0.026685994
13458889,0,0,9,0.00525028
13589801,0.1,1,10,0.017319693
13589964,0,0,10,0.008945829
13634801,0.05,1,20,0.032245997
13650424,0,0,18,0.009228278
13674245,0,0,20,0.02115162
13729887,0.2,2,10,0.048296746
13738030,0.111111111,1,9,0.051714937
13778296,0,0,20,0.042558326
13827098,0.1,2,20,0.015074501
13864937,0,0,10,0.013644282
13897335,0.034482759,1,29,0.033978335
13961396,0.1,1,10,0.011930288
13961594,0.1,1,10,0.1825491
13962065,0.2,2,10,0.153800407
13964043,0.8,8,10,0.049085427
14032180,0,0,10,0.006577688
14039111,0,0,20,0.239989565
14083873,0,0,17,0.024238708
14159285,0,0,10,0.019022614
14164329,0.1,2,20,0.018419282
14192780,0,0,20,0.068531626
14195772,1,10,10,0.982308397
14209630,0,0,10,0.019479074
14307882,0,0,20,0.05890692
14328347,0,0,9,0.126635735
14444907,0,0,20,0.003938122
14457447,0,0,8,0.089820854
14471233,0.1,2,20,0.015311729
14669415,0,0,10,0.011645593
14722902,0.1,1,10,0.046759534
14742964,0.05,1,20,0.041752901
14834812,0,0,9,0.0095275
14871870,0.052631579,1,19,0.016349849
14888979,1,9,9,0.99877484
14890609,0,0,20,0.078215664
15027896,0,0,20,0.026556628
15041981,0.1,1,10,0.026034002
15095499,0.2,2,10,0.02441319
15119523,0.4,4,10,0.202885427
15124357,0.4,4,10,0.06610259
15131213,0.074074074,2,27,0.009773834
15143595,0,0,10,0.00489639
15208942,0.896551724,26,29,0.423586319
15223238,0.875,7,8,0.614171229
15229582,0,0,20,0.027797093
15243943,0.178571429,5,28,0.225841982
15267826,0.896551724,26,29,0.799657755
15290463,0,0,10,0.014870928
15315601,0,0,10,0.0357186
15325719,0,0,10,0.148053825
15328165,0.7,7,10,0.854372286
15328398,1,26,26,0.716576114
15367156,0,0,9,0.041969679
15377335,0,0,10,0.01934429
15379302,0.111111111,1,9,0.073069315
15418194,0,0,9,0.007472652
15420680,0.5,5,10,0.671674833
15451520,0.444444444,4,9,0.042805084
15495786,0,0,9,0.034205288
15496773,0,0,29,0.010911287
15553093,0.375,3,8,0.025344178
15555475,0.111111111,1,9,0.013130838
15578040,0.111111111,1,9,0.034673482
15620788,0.555555556,5,9,0.429475922
15650766,0,0,19,0.028989341
15658494,0,0,20,0.038894939
15660849,1,9,9,0.82186232
15660895,1,9,9,0.989981935
15731700,0.05,1,20,0.007379969
15749676,0.1,1,10,0.067267994
15832566,0.066666667,2,30,0.026941409
15839557,0.05,1,20,0.008699991
15859277,0,0,9,0.03205166
15880673,0,0,20,0.022346014
15884757,0.111111111,1,9,0.014344068
15893390,0.1,1,10,0.079047012
15895292,0,0,10,0.01088445
15927385,0,0,9,0.078861949
15977486,0,0,10,0.016192873
16031917,0.05,1,20,0.012536694
16035721,0.05,1,20,0.015827436
16126654,0.055555556,1,18,0.007758594
16177902,0,0,20,0.024244344
16201513,0,0,10,0.026121148
16204512,0,0,20,0.007782933
16204757,0,0,20,0.03806234
16226334,0,0,10,0.03995985
16232743,0,0,18,0.012682262
16251938,0,0,9,0.010979382
16251941,0,0,10,0.023720132
16293075,0.05,1,20,0.047593674
16308351,0.05,1,20,0.029380243
16409497,0.222222222,2,9,0.191730235
16458647,0,0,9,0.006740692
16540894,0,0,8,0.022560243
16601501,0.05,1,20,0.008570216
16612318,0,0,20,0.006246694
16670670,0,0,9,0.010188214
16686060,0,0,10,0.018620008
16701860,0.05,1,20,0.012770788
16754437,0,0,20,0.016707214
16841440,0.05,1,20,0.008272666
16866768,0,0,10,0.021547347
16895901,0.1,1,10,0.049757913
16985534,0,0,19,0.055508294
17005660,0,0,19,0.008489858
17022767,0,0,18,0.004072517
17070222,0,0,10,0.045581564
17097893,0.0625,1,16,0.001995344
17119106,0,0,9,0.048628905
17134142,0,0,19,0.00995672
17149898,0.961538462,25,26,0.976861302
17194332,0,0,17,0.023414027
17205947,0.222222222,2,9,0.114453325
17439787,0,0,20,0.040094566
17494859,0,0,20,0.032891953
17495915,0,0,10,0.009023877
17508814,0,0,20,0.032650098
17516230,0.3,3,10,0.341366304
17578518,0,0,10,0.009743441
17697650,0,0,10,0.017827203
17742139,0,0,20,0.018339112
17787508,0.055555556,1,18,0.006447116
17826163,0,0,10,0.016991901
17947391,0,0,9,0.026058728
17954875,0.3,9,30,0.028718335
18023684,0.3,3,10,0.049919891
18025390,0.1,1,10,0.004103676
18026631,0,0,10,0.002126471
18033778,0.105263158,2,19,0.002020528
18072842,0.1,1,10,0.015223667
18081278,1,10,10,0.996812684
18140039,0.111111111,1,9,0.040687428
18166050,0.05,1,20,0.009786461
18173461,0.1,1,10,0.081585967
18193175,0,0,9,0.003682142
18213060,0,0,20,0.005022377
18231027,0.05,1,20,0.012642296
18270054,0,0,10,0.017858862
18279170,0,0,9,0.014527092
18285615,0,0,10,0.015758132
18288594,0.05,1,20,0.15957009
18315608,0.1,2,20,0.00902103
18323570,0.2,2,10,0.016203734
18358322,0.05,1,20,0.004184876
18417007,0,0,20,0.080357497
18441212,0,0,20,0.009899954
18499035,0,0,20,0.009504445
18504434,0,0,20,0.024055862
18509272,0,0,9,0.035807503
18523841,0,0,20,0.01315583
18524481,0.111111111,1,9,0.004125878
18570325,0.566666667,17,30,0.074977335
18597501,0.1,1,10,0.006291016
18606380,0.9,9,10,0.865810382
18610120,0.793103448,23,29,0.083910909
18615100,0.1,1,10,0.018031285
18640870,0.1,2,20,0.007923986
18674888,0.111111111,1,9,0.416537481
18683910,0,0,9,0.028626024
18684063,0,0,10,0.014658474
18684316,0,0,20,0.082122894
18696130,0.25,7,28,0.061996865
18699658,0.068965517,2,29,0.108219923
18702802,0.033333333,1,30,0.021246671
18712308,0.5,14,28,0.03331084
18715665,0,0,9,0.009119368
18764566,0,0,8,0.005140872
18766627,0.1,1,10,0.029072449
18796221,0,0,20,0.008471948
18798494,0.6,6,10,0.859650305
18821845,0.1,1,10,0.013103379
18823799,0.052631579,1,19,0.005628057
18824339,0.928571429,26,28,0.734327932
18830782,0,0,9,0.020993025
18839605,0.111111111,1,9,0.01747728
18840135,0,0,9,0.014603195
18851800,0.5,5,10,0.446917064
18854423,0,0,18,0.014170437
18870228,0.3,3,10,0.054854064
18899360,0,0,10,0.008886758
18902280,0.666666667,6,9,0.055189987
18911031,0,0,20,0.014605416
18913697,0,0,9,0.009927513
18920142,0,0,20,0.045691379
18928792,0,0,20,0.003616432
18935871,0.526315789,10,19,0.077992957
18948810,0.655172414,19,29,0.156621976
18985431,0.8,8,10,0.39754745
19017226,0.296296296,8,27,0.101527608
19030735,0.1,1,10,0.157957599
19048069,0,0,9,0.081559284
19057580,0.1,1,10,0.026197939
19062504,0.125,1,8,0.01943198
19065349,0.037037037,1,27,0.025212142
19070010,0.2,2,10,0.053019681
19070682,0.1,1,10,0.039578848
19105420,0,0,8,0.014845883
19112455,0,0,20,0.019134693
19152723,0.05,1,20,0.038266392
19170128,0.75,21,28,0.295879561
19188457,0.263157895,5,19,0.210655193
19190653,0,0,30,0.00669794
19194603,0.111111111,1,9,0.054142411
19202640,0.2,2,10,0.066880761
19202968,0.1,1,10,0.15926354
19211782,0.1,1,10,0.024789712
19212220,0.1,1,10,0.054135415
19214560,0,0,8,0.063553382
19215854,0.230769231,6,26,0.081714746
19221137,0.055555556,1,18,0.012005728
19231730,0.05,1,20,0.060505343
19255986,0.5,5,10,0.039048301
19257086,0.4,4,10,0.017384012
19263242,0,0,10,0.009591254
19268430,0.9,9,10,0.773382474
19270449,0.206896552,6,29,0.069920488
19270547,0,0,10,0.024077963
19282058,0.034482759,1,29,0.02459201
19284148,0,0,9,0.016426757
19284626,0.15,3,20,0.026948791
19288386,0.5,5,10,0.052746902
19289010,0.555555556,5,9,0.281306968
19296632,0.15,3,20,0.007878867
19324846,0,0,20,0.027106035
19343539,0.1,1,10,0.075121476
19412658,0,0,10,0.016167732
19448512,0,0,10,0.060955194
19450781,0,0,10,0.020003901
19466174,0.1,1,10,0.008919385
19481781,0.111111111,1,9,0.028548099
19518492,0,0,20,0.017485176
19527599,0.05,1,20,0.009308354
19535887,0,0,10,0.044977785
19568896,0.448275862,13,29,0.092242444
19571061,0,0,20,0.020834456
19617206,0,0,10,0.059411808
19620467,0.444444444,4,9,0.117506041
19641665,0,0,20,0.038199838
19660378,0.05,1,20,0.018389813
19664435,0.1,1,10,0.025108794
19670602,0,0,20,0.006672994
19741594,0.05,1,20,0.027504932
19747243,0.965517241,28,29,0.989136546
19772948,0,0,10,0.017426158
19800824,0,0,10,0.012564027
19817520,0.206896552,6,29,0.020527577
19823803,0,0,9,0.080502359
19826891,0.111111111,1,9,0.04236575
19829810,0.035714286,1,28,0.087675041
19829991,0,0,10,0.022546502
19833416,1,30,30,0.877513589
19833960,0,0,10,0.005585226
19870083,0.1,1,10,0.085101758
19884450,0.111111111,1,9,0.234377872
19885950,0,0,10,0.056737485
19921941,0.1,1,10,0.011496315
19935447,0.111111111,1,9,0.02478859
19940382,0,0,9,0.07219081
19949917,0,0,9,0.02164931
19977424,0.111111111,1,9,0.06311385
20012511,0,0,20,0.022325772
20030518,0,0,20,0.017044563
20063936,0.111111111,1,9,0.015929921
20070803,0,0,9,0.008466383
20074446,0,0,10,0.018616729
20076289,0,0,10,0.015731374
20078731,0,0,19,0.108034034
20092141,0.05,1,20,0.01431282
20107129,0,0,20,0.022100998
20155643,0.3,3,10,0.546284646
20157017,0.931034483,27,29,0.905172573
20162759,0.1,1,10,0.139528167
20190714,0,0,10,0.024232924
20212068,0,0,9,0.026212544
20239438,0,0,20,0.010282749
20240434,0.125,1,8,0.014856047
20244912,0,0,20,0.012756353
20284481,0,0,20,0.00641711
20296406,0,0,10,0.01271504
20348427,0,0,20,0.006667712
20357962,0,0,19,0.041584178
20364507,0,0,18,0.052411542
20387478,0,0,9,0.013517446
20396619,0.888888889,8,9,0.140880371
20423988,0,0,20,0.014735889
20435899,0,0,10,0.019862711
20438921,0.842105263,16,19,0.09392497
20439228,0,0,9,0.017408299
20445042,0,0,10,0.008603479
20459353,0,0,9,0.01566078
20497929,0.1,1,10,0.017221447
20540176,0.4,4,10,0.040203491
20551518,0,0,20,0.005408362
20572789,0.222222222,2,9,0.23434652
20606974,0,0,10,0.050826355
20616186,0,0,10,0.009170774
20616189,0.857142857,24,28,0.322612507
20620632,0.666666667,20,30,0.258957201
20660735,0,0,19,0.016556001
20670514,0.111111111,1,9,0.018860504
20673949,0,0,10,0.071644193
20681451,0.05,1,20,0.004672813
20685987,0,0,10,0.07919714
20691863,0,0,10,0.009078365
20714670,0.05,1,20,0.007292119
20774023,0,0,10,0.002705737
20776801,0,0,9,0.003500656
20786709,1,29,29,0.694061085
20793653,0.6,6,10,0.095399943
20796355,0,0,20,0.041931023
20818276,0.444444444,4,9,0.823187751
20849185,0,0,9,0.056507766
20850736,0,0,10,0.007435162
20866410,0,0,26,0.014850826
20876050,0,0,8,0.018047593
20901072,0,0,20,0.026310968
20917397,0.206896552,6,29,0.015318985
20935224,0,0,20,0.015246262
20950381,0,0,9,0.024245928
20955197,0.1,1,10,0.060950028
20955852,0.034482759,1,29,0.977467991
20964040,0.1,1,10,0.137277776
21002547,0.222222222,6,27,0.013800506
21007381,0,0,10,0.004934592
21037228,0,0,19,0.046027718
21049837,0,0,10,0.009410139
21079184,0,0,10,0.014286575
21082281,0.038461538,1,26,0.019314583
21089051,0,0,10,0.010521455
21128854,0,0,18,0.01807387
21141029,0,0,19,0.026268587
21150437,0.2,2,10,0.030704407
21173984,0,0,8,0.026306453
21190574,0,0,10,0.025628788
21204048,0,0,20,0.025491221
21209387,0,0,10,0.017707735
21211955,0,0,9,0.012628825
21248704,0,0,19,0.008244029
21273330,0.25,5,20,0.461781037
21294258,0.1,1,10,0.150931435
21295882,0,0,9,0.006416592
21297979,0.333333333,9,27,0.092150296
21307894,0,0,20,0.025151658
21319268,0.740740741,20,27,0.650355871
21319543,1,8,8,0.807933023
21321034,0,0,30,0.039743912
21351877,0,0,10,0.00404581
21385747,0.7,7,10,0.563493521
21388175,0.931034483,27,29,0.998167638
21403851,0.25,2,8,0.097217844
21405868,0.3,3,10,0.190142134
21539273,0,0,20,0.019853872
21549142,0.111111111,1,9,0.007908438
21565715,0.888888889,24,27,0.43518424
21591381,0.222222222,2,9,0.083119935
21597141,0.035714286,1,28,0.010945364
21614493,0,0,20,0.137967242
21642424,0.862068966,25,29,0.869466219
21653454,0.266666667,8,30,0.046620592
21690597,0,0,10,0.04404125
21695417,0,0,18,0.023306384
21701792,0,0,20,0.005986648
21703466,0,0,10,0.007678305
21714863,1,8,8,0.993106349
21728427,0.1,2,20,0.011848832
21731718,0,0,29,0.088207355
21735658,0.862068966,25,29,0.834035073
21744570,0.111111111,1,9,0.027384831
21778229,0,0,10,0.043934335
21782806,0.333333333,9,27,0.055184556
21785642,0.4,4,10,0.093333872
21789740,0,0,10,0.020972074
21799188,0,0,10,0.024472989
21806246,0.210526316,4,19,0.039980826
21835477,0.222222222,2,9,0.019967935
21841902,0,0,10,0.091099419
21846900,0,0,9,0.071643568
21854266,0,0,18,0.031595063
21872213,0,0,10,0.018563942
21898692,0.666666667,6,9,0.97097159
21898735,0.9,9,10,0.97097159
21908899,0,0,9,0.037697012
21917748,0,0,10,0.029526417
21988637,0,0,20,0.007834347
21993455,0.111111111,1,9,0.031181007
22042516,0,0,8,0.051140355
22045114,0.111111111,1,9,0.030851828
22047281,0,0,14,0.022508969
22082279,0.6,6,10,0.64790762
22082302,0,0,10,0.018050934
22094377,0.4,4,10,0.138246245
22103134,0.736842105,14,19,0.708128814
22154481,0.821428571,23,28,0.449009479
22209900,0,0,10,0.390202661
22215139,0,0,20,0.065588563
22268782,0,0,20,0.015883463
22277145,0.125,1,8,0.009712688
22295310,0,0,20,0.015432027
22306324,0,0,10,0.010589912
22319405,0,0,9,0.026293719
22325734,0.1,3,30,0.043833374
22375112,0,0,10,0.00420972
22379025,0,0,20,0.008471136
22380293,0.052631579,1,19,0.030598174
22417811,0,0,10,0.060131045
22435172,0,0,10,0.087395012
22439499,0,0,9,0.040455469
22441611,0.1,1,10,0.04657703
22443561,0.111111111,1,9,0.099641877
22443638,0.172413793,5,29,0.117164589
22455813,0.1,1,10,0.004647412
22480556,0.4,4,10,0.019052936
22481541,0,0,10,0.005999794
22525956,0.966666667,29,30,0.916952253
22542333,0.4,4,10,0.03988181
22546903,0.3,3,10,0.387854767
22553169,0.222222222,2,9,0.068518253
22571115,1,10,10,0.996911027
22577077,0.2,2,10,0.072647902
22612195,0,0,10,0.005861
22626930,0,0,10,0.003577778
22650105,0.111111111,1,9,0.01195606
22667630,0.05,1,20,0.041796655
22686157,0,0,10,0.050135608
22735380,0,0,20,0.005178027
22743778,0,0,9,0.062650816
22748410,0,0,20,0.055828212
22804238,0,0,28,0.070025529
22810341,0,0,27,0.022951469
22848212,0,0,20,0.009936284
22886685,0,0,20,0.022168687
22899795,0,0,10,0.005967583
22903684,0.25,2,8,0.026271949
22905745,0,0,19,0.022652985
23020659,0.555555556,5,9,0.157222485
23033934,0,0,10,0.025115072
23058742,0,0,20,0.022479683
23060579,0,0,27,0.069058131
23063599,0,0,20,0.021238046
23130975,0,0,20,0.037426699
23138616,0.15,3,20,0.043117428
23222285,0.111111111,1,9,0.031260779
23244814,0,0,10,0.006721911
23309145,0,0,18,0.011698968
23313897,0,0,9,0.023302359
23323923,0.777777778,7,9,0.814799527
23324835,0.05,1,20,0.00705021
23330343,0,0,10,0.032240362
23339161,0,0,20,0.003106303
23361955,0.655172414,19,29,0.169219697
23387010,0,0,20,0.008347714
23461421,0.111111111,1,9,0.048078836
23470071,0,0,10,0.081839242
23474379,0.875,7,8,0.700892652
23486186,0.1,1,10,0.035855767
23486488,0.111111111,1,9,0.101037076
23491137,0.35,7,20,0.043224924
23495058,0.157894737,3,19,0.019675128
23517768,0.2,2,10,0.044660898
23526460,0,0,10,0.010521363
23554887,0,0,10,0.01848831
23645769,0,0,10,0.009935666
23648468,0.133333333,4,30,0.020067232
23688191,0.1,1,10,0.039682337
23689609,0,0,20,0.049156643
23718951,0,0,10,0.012939936
23760969,0,0,10,0.031298392
23770365,0.814814815,22,27,0.136812193
23770413,0.724137931,21,29,0.34057296
23782418,0.35,7,20,0.134637032
23804284,0,0,20,0.023660553
23806863,0.1,1,10,0.047907557
23808883,0,0,9,0.015818431
23862058,0,0,9,0.037319628
23870581,0,0,20,0.067730108
23877295,0,0,10,0.022056727
23886332,0,0,14,0.055508294
23940653,0.333333333,3,9,0.10529334
23956916,0.444444444,4,9,0.151430462
23961159,0.222222222,2,9,0.045936824
24000816,0.1,1,10,0.030096976
24048790,0,0,8,0.365171055
24053937,0.3,3,10,0.028437475
24055027,0.052631579,1,19,0.034546828
24057555,0.8,8,10,0.08110866
24105877,0.210526316,4,19,0.020259763
24167476,0.1,2,20,0.032459842
24175560,0.2,2,10,0.048817727
24181214,0.111111111,1,9,0.049742732
24228435,0.05,1,20,0.012708534
24269095,0.1,1,10,0.245942404
24284368,0.6,18,30,0.314897011
24311383,0,0,9,0.02785237
24312677,0.05,1,20,0.015639225
24355952,0,0,20,0.037836463
24375536,0,0,8,0.013504468
24394168,0,0,10,0.062597263
24414536,0.333333333,3,9,0.014677748
24426264,0.103448276,3,29,0.021145214
24464221,0.9,9,10,0.909270212
24487452,0.3,3,10,0.087401076
24495536,0,0,10,0.013928502
24515624,0,0,9,0.005873631
24572148,0,0,9,0.019278299
24646599,0.025641026,1,39,0.04337376
24647267,0.114285714,4,35,0.065363089
24665343,0.1,2,20,0.031508829
24684921,0,0,10,0.251159581
24739834,0.05,1,20,0.042297186
24741557,0.1,1,10,0.099996659
24744122,0,0,20,0.027135642
24757539,0.392857143,11,28,0.138115444
24758655,0.1,3,30,0.020860805
24777589,0.888888889,8,9,0.651002143
24800124,0,0,10,0.005975505
24811951,0.055555556,1,18,0.12147191
